,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Goals,SixYardBox,PenaltyArea,OutOfBox,Rating
4251,Harry Kane,2016/2017,Tottenham,England-Premier-League,EPL,30,2536,29,6,18,5,7.68
4252,Harry Kane,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,6.59
4253,Harry Kane,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,7,359,2,1,-,1,6.79
4254,Harry Kane,2015/2016,Tottenham,England-Premier-League,EPL,38,3370,25,2,21,2,7.53
4255,Harry Kane,2015,England U21,International-EURO-U-21,IEU,3,270,-,-,-,-,6.97
4256,Harry Kane,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,7,423,5,2,1,2,7.14
4257,Harry Kane,2014/2015,Tottenham,England-Premier-League,EPL,34,2582,21,5,14,2,7.28
4258,Harry Kane,2016,England,International-European-Championship,UEC,4,240,-,-,-,-,6.89
4259,Harry Kane,2013/2014,Tottenham,Europe-UEFA-Europa-League,UEL,5,122,-,-,-,-,6.35
4260,Harry Kane,2013/2014,Tottenham,England-Premier-League,EPL,10,500,3,1,2,-,6.87
4261,Harry Kane,2012/2013,Tottenham,England-Premier-League,EPL,1,4,-,-,-,-,6.13
4262,Harry Kane,2012/2013,Norwich,England-Premier-League,EPL,3,135,-,-,-,-,6.43
4263,Eric Dier,2017/2018,Tottenham,Europe-UEFA-Champions-League,UCL,7,614,-,-,-,-,6.86
4264,Eric Dier,2017/2018,Tottenham,England-Premier-League,EPL,34,2827,-,-,-,-,6.96
4265,Eric Dier,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,5,441,-,-,-,-,6.63
4266,Eric Dier,2016/2017,Tottenham,England-Premier-League,EPL,36,3045,2,-,2,-,6.93
4267,Eric Dier,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,179,-,-,-,-,6.41
4268,Eric Dier,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,9,669,-,-,-,-,6.88
4269,Eric Dier,2015/2016,Tottenham,England-Premier-League,EPL,37,3268,3,1,1,1,7.06
4270,Eric Dier,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,7.27
4271,Eric Dier,2014/2015,Tottenham,England-Premier-League,EPL,28,2291,2,1,1,-,6.93
4272,Eric Dier,2016,England,International-European-Championship,UEC,4,316,1,-,-,1,7.07
4273,Arkadiusz Milik,2017/2018,Napoli,Italy-Serie-A,ISA,15,440,5,1,3,1,6.52
4274,Arkadiusz Milik,2017/2018,Napoli,Europe-UEFA-Champions-League,UCL,1,90,1,-,1,-,6.37
4275,Arkadiusz Milik,2016/2017,Napoli,Italy-Serie-A,ISA,17,547,5,2,2,1,6.49
4276,Arkadiusz Milik,2016/2017,Napoli,Europe-UEFA-Champions-League,UCL,4,199,3,1,2,-,6.95
4277,Arkadiusz Milik,2015/2016,Ajax,Europe-UEFA-Europa-League,UEL,5,379,1,1,-,-,6.73
4278,Arkadiusz Milik,2015/2016,Ajax,Netherlands-Eredivisie,NE,31,2474,21,5,13,3,7.3
4279,Arkadiusz Milik,2014/2015,Ajax,Europe-UEFA-Champions-League,UCL,5,256,1,-,1,-,6.73
4280,Arkadiusz Milik,2014/2015,Ajax,Europe-UEFA-Europa-League,UEL,4,347,3,-,-,3,7.33
4281,Arkadiusz Milik,2014/2015,Ajax,Netherlands-Eredivisie,NE,21,1266,11,2,6,3,7.14
4282,Arkadiusz Milik,2016,Poland,International-European-Championship,UEC,5,450,1,-,1,-,6.95
4283,Arkadiusz Milik,2013/2014,Augsburg,Germany-Bundesliga,GB,18,638,2,2,-,-,6.42
4284,Arkadiusz Milik,2012/2013,Bayer Leverku..,Germany-Bundesliga,GB,6,65,-,-,-,-,6.16
4285,Arkadiusz Milik,2012/2013,Bayer Leverku..,Europe-UEFA-Europa-League,UEL,2,36,-,-,-,-,6.34
4286,Samuel Umtiti,2017/2018,Barcelona,Spain-La-Liga,SLL,25,2189,1,-,1,-,7.03
4287,Samuel Umtiti,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.01
4288,Samuel Umtiti,2016/2017,Barcelona,Spain-La-Liga,SLL,25,2133,1,1,-,-,6.98
4289,Samuel Umtiti,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,6.95
4290,Samuel Umtiti,2015/2016,Lyon,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,7.07
4291,Samuel Umtiti,2015/2016,Lyon,France-Ligue-1,FL1,30,2658,1,1,-,-,7.27
4292,Samuel Umtiti,2014/2015,Lyon,France-Ligue-1,FL1,35,3089,1,-,1,-,7.15
4293,Samuel Umtiti,2016,France,International-European-Championship,UEC,3,270,-,-,-,-,6.86
4294,Samuel Umtiti,2013/2014,Lyon,Europe-UEFA-Europa-League,UEL,7,566,1,-,-,1,6.99
4295,Samuel Umtiti,2013/2014,Lyon,France-Ligue-1,FL1,28,2344,-,-,-,-,6.88
4296,Samuel Umtiti,2012/2013,Lyon,Europe-UEFA-Europa-League,UEL,6,497,1,-,1,-,6.61
4297,Samuel Umtiti,2012/2013,Lyon,France-Ligue-1,FL1,26,2259,1,-,1,-,7.1
4298,Samuel Umtiti,2011/2012,Lyon,France-Ligue-1,FL1,12,1002,-,-,-,-,6.64
4299,Ederson,2018,Atletico PR,Brazil-Brasileirão,BSA,3,86,1,-,1,-,6.45
4300,Ederson,2017,Atletico PR,Brazil-Brasileirão,BSA,18,809,2,1,1,-,6.31
4301,Ederson,2014,Atletico PR,Brazil-Brasileirão,BSA,12,870,1,-,1,-,6.5
4302,Ederson,2013,Atletico PR,Brazil-Brasileirão,BSA,36,2488,21,7,13,1,7.1
4303,Miguel Camargo,2017,New York City..,,UMLS,8,176,1,1,-,-,6.32
4304,Paulo Dybala,2017/2018,Juventus,Italy-Serie-A,ISA,33,2358,22,-,15,7,7.77
4305,Paulo Dybala,2017/2018,Juventus,Europe-UEFA-Champions-League,UCL,8,661,1,-,1,-,6.86
4306,Paulo Dybala,2016/2017,Juventus,Italy-Serie-A,ISA,31,2154,11,1,6,4,7.46
4307,Paulo Dybala,2016/2017,Juventus,Europe-UEFA-Champions-League,UCL,11,797,4,-,3,1,7.34
4308,Paulo Dybala,2015/2016,Juventus,Italy-Serie-A,ISA,34,2465,19,-,13,6,7.71
4309,Paulo Dybala,2015/2016,Juventus,Europe-UEFA-Champions-League,UCL,7,420,1,-,1,-,6.72
4310,Paulo Dybala,2014/2015,Palermo,Italy-Serie-A,ISA,34,2965,13,2,10,1,7.37
4311,Paulo Dybala,2012/2013,Palermo,Italy-Serie-A,ISA,27,1250,3,-,3,-,6.39
4312,Alfred Gomis,2017/2018,SPAL 2013,,ISA,26,2260,-,-,-,-,6.69
4313,Trézéguet,2017/2018,Kasimpasa,Turkey-Super-Lig,TS,31,2652,13,-,10,3,7.53
4314,Trézéguet,2015/2016,Anderlecht,Europe-UEFA-Europa-League,UEL,1,19,-,-,-,-,5.83
4315,Fahad Al-Muwallad,2017/2018,Levante,,SLL,2,26,-,-,-,-,5.99
4316,José Giménez,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,23,1684,1,-,1,-,6.95
4317,José Giménez,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,7.34
4318,José Giménez,2017/2018,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,272,-,-,-,-,7.1
4319,José Giménez,2016/2017,Atletico Madr..,Spain-La-Liga,SLL,17,1013,-,-,-,-,7.17
4320,José Giménez,2016/2017,Atletico Madr..,Europe-UEFA-Champions-League,UCL,6,507,-,-,-,-,7.79
4321,José Giménez,2015/2016,Atletico Madr..,Spain-La-Liga,SLL,27,2430,1,1,-,-,7.22
4322,José Giménez,2015/2016,Atletico Madr..,Europe-UEFA-Champions-League,UCL,8,631,-,-,-,-,7.07
4323,José Giménez,2015,Uruguay,International-Copa-America,ICA,4,360,1,-,1,-,7.51
4324,José Giménez,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,20,1752,1,-,1,-,7.52
4325,José Giménez,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,274,-,-,-,-,7.33
4326,José Giménez,2013/2014,Atletico Madr..,Spain-La-Liga,SLL,1,90,-,-,-,-,6.67
4327,José Giménez,2014,Uruguay,International-FIFA-World-Cup,WC,3,270,-,-,-,-,6.87
4328,Bruno Fernandes,2017/2018,Sporting CP,Portugal-Liga-NOS,PLN,33,2806,11,-,6,5,7.55
4329,Bruno Fernandes,2017/2018,Sporting CP,Europe-UEFA-Europa-League,UEL,6,537,3,-,2,1,7.75
4330,Bruno Fernandes,2017/2018,Sporting CP,Europe-UEFA-Champions-League,UCL,6,537,1,-,1,-,7.07
4331,Bruno Fernandes,2016/2017,Sampdoria,Italy-Serie-A,ISA,34,1725,5,1,2,2,6.61
4332,Bruno Fernandes,2015/2016,Udinese,Italy-Serie-A,ISA,31,2115,3,-,3,-,6.9
4333,Bruno Fernandes,2014/2015,Udinese,Italy-Serie-A,ISA,31,1605,3,-,1,2,6.43
4334,Bruno Fernandes,2013/2014,Udinese,Italy-Serie-A,ISA,24,1557,5,2,1,2,7.12
4335,Gelson Martins,2017/2018,Sporting CP,Portugal-Liga-NOS,PLN,31,2688,8,2,6,-,7.4
4336,Gelson Martins,2017/2018,Sporting CP,Europe-UEFA-Europa-League,UEL,5,445,1,-,1,-,7.07
4337,Gelson Martins,2017/2018,Sporting CP,Europe-UEFA-Champions-League,UCL,6,463,1,-,1,-,6.77
4338,Gelson Martins,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,32,2771,6,3,2,1,7.31
4339,Gelson Martins,2016/2017,Sporting CP,Europe-UEFA-Champions-League,UCL,6,506,-,-,-,-,7.0
4340,Gelson Martins,2015/2016,Sporting CP,Europe-UEFA-Europa-League,UEL,6,273,1,-,1,-,6.67
4341,Kepa Arrizabalaga,2017/2018,Athletic Bilb..,Spain-La-Liga,SLL,30,2700,-,-,-,-,6.79
4342,Kepa Arrizabalaga,2016/2017,Athletic Bilb..,Spain-La-Liga,SLL,23,2016,-,-,-,-,6.56
4343,Pione Sisto,2017/2018,Celta Vigo,Spain-La-Liga,SLL,34,2535,5,1,2,2,6.96
4344,Pione Sisto,2016/2017,Celta Vigo,Spain-La-Liga,SLL,30,1666,3,-,2,1,6.67
4345,Pione Sisto,2016/2017,Celta Vigo,Europe-UEFA-Europa-League,UEL,13,948,2,-,1,1,6.84
4346,Pione Sisto,2015/2016,FC Midtjyllan..,Europe-UEFA-Europa-League,UEL,7,480,4,-,1,3,7.18
4347,Pione Sisto,2015,Denmark U21,International-EURO-U-21,IEU,3,130,1,-,1,-,6.74
4348,Yussuf Poulsen,2017/2018,RasenBallspor..,Germany-Bundesliga,GB,30,1662,4,4,-,-,6.68
4349,Yussuf Poulsen,2017/2018,RasenBallspor..,Europe-UEFA-Europa-League,UEL,5,215,-,-,-,-,6.59
4350,Yussuf Poulsen,2017/2018,RasenBallspor..,Europe-UEFA-Champions-League,UCL,4,200,-,-,-,-,6.55
4351,Yussuf Poulsen,2016/2017,RasenBallspor..,Germany-Bundesliga,GB,29,2068,5,1,4,-,7.01
4352,Yussuf Poulsen,2015/2016,RasenBallspor..,Germany-Bundesliga-II,GB2,32,1991,7,3,4,-,6.93
4353,Yussuf Poulsen,2015,Denmark U21,International-EURO-U-21,IEU,4,331,-,-,-,-,6.55
4354,Benjamin Mendy,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,6.84
4355,Benjamin Mendy,2017/2018,Manchester Ci..,England-Premier-League,EPL,7,362,-,-,-,-,6.87
4356,Benjamin Mendy,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,7,525,-,-,-,-,7.52
4357,Benjamin Mendy,2016/2017,Monaco,France-Ligue-1,FL1,25,2060,-,-,-,-,7.25
4358,Benjamin Mendy,2015/2016,Marseille,Europe-UEFA-Europa-League,UEL,7,606,-,-,-,-,7.42
4359,Benjamin Mendy,2015/2016,Marseille,France-Ligue-1,FL1,24,1953,1,-,-,1,7.14
4360,Benjamin Mendy,2014/2015,Marseille,France-Ligue-1,FL1,33,2921,-,-,-,-,7.2
4361,Benjamin Mendy,2013/2014,Marseille,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,6.77
4362,Benjamin Mendy,2013/2014,Marseille,France-Ligue-1,FL1,24,1730,1,-,1,-,6.97
4363,Corentin Tolisso,2017/2018,Bayern Munich,Germany-Bundesliga,GB,26,1529,6,2,3,1,6.99
4364,Corentin Tolisso,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,8,497,3,-,3,-,7.09
4365,Corentin Tolisso,2016/2017,Lyon,Europe-UEFA-Champions-League,UCL,6,450,2,-,2,-,7.22
4366,Corentin Tolisso,2016/2017,Lyon,France-Ligue-1,FL1,31,2577,8,4,2,2,7.25
4367,Corentin Tolisso,2016/2017,Lyon,Europe-UEFA-Europa-League,UEL,8,639,2,1,-,1,7.15
4368,Corentin Tolisso,2015/2016,Lyon,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.85
4369,Corentin Tolisso,2015/2016,Lyon,France-Ligue-1,FL1,33,2581,5,1,3,1,7.27
4370,Corentin Tolisso,2014/2015,Lyon,France-Ligue-1,FL1,38,3317,7,3,3,1,7.07
4371,Corentin Tolisso,2013/2014,Lyon,Europe-UEFA-Europa-League,UEL,9,507,-,-,-,-,6.37
4372,Corentin Tolisso,2013/2014,Lyon,France-Ligue-1,FL1,14,787,1,-,1,-,6.67
4373,Andy Polo,2018,Portland Timb..,,UMLS,7,508,-,-,-,-,6.55
4374,Dominik Livakovic,2016/2017,Dinamo Zagreb,,UCL,4,360,-,-,-,-,7.23
4375,Joshua Kimmich,2017/2018,Bayern Munich,Germany-Bundesliga,GB,29,2334,1,1,-,-,7.23
4376,Joshua Kimmich,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,11,897,4,1,3,-,7.33
4377,Joshua Kimmich,2016/2017,Bayern Munich,Germany-Bundesliga,GB,27,1542,6,3,3,-,6.99
4378,Joshua Kimmich,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,8,289,3,2,1,-,6.82
4379,Joshua Kimmich,2015/2016,Bayern Munich,Germany-Bundesliga,GB,23,1423,-,-,-,-,6.79
4380,Joshua Kimmich,2015/2016,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,601,-,-,-,-,6.55
4381,Joshua Kimmich,2015,Germany U21,International-EURO-U-21,IEU,4,315,-,-,-,-,6.67
4382,Joshua Kimmich,2016,Germany,International-European-Championship,UEC,4,360,-,-,-,-,7.19
4383,Leon Goretzka,2017/2018,Schalke 04,Germany-Bundesliga,GB,26,1983,4,1,2,1,7.03
4384,Leon Goretzka,2016/2017,Schalke 04,Germany-Bundesliga,GB,30,2569,5,-,4,1,7.21
4385,Leon Goretzka,2016/2017,Schalke 04,Europe-UEFA-Europa-League,UEL,9,667,3,-,2,1,7.33
4386,Leon Goretzka,2015/2016,Schalke 04,Germany-Bundesliga,GB,25,1993,1,-,-,1,7.27
4387,Leon Goretzka,2015/2016,Schalke 04,Europe-UEFA-Europa-League,UEL,7,567,-,-,-,-,7.38
4388,Leon Goretzka,2014/2015,Schalke 04,Germany-Bundesliga,GB,10,380,-,-,-,-,6.57
4389,Leon Goretzka,2014/2015,Schalke 04,Europe-UEFA-Champions-League,UCL,1,33,-,-,-,-,6.54
4390,Leon Goretzka,2013/2014,Schalke 04,Europe-UEFA-Champions-League,UCL,4,47,-,-,-,-,5.85
4391,Leon Goretzka,2013/2014,Schalke 04,Germany-Bundesliga,GB,25,1503,4,1,2,1,7.22
4392,Emil Krafth,2017/2018,Bologna,Italy-Serie-A,ISA,12,947,-,-,-,-,6.42
4393,Emil Krafth,2016/2017,Bologna,Italy-Serie-A,ISA,26,1651,-,-,-,-,6.35
4394,Emil Krafth,2015/2016,Bologna,Italy-Serie-A,ISA,4,144,-,-,-,-,6.43
4395,Emil Krafth,2012/2013,Helsingborg,Europe-UEFA-Europa-League,UEL,2,155,-,-,-,-,6.8
4396,Jordan Lukaku,2017/2018,Lazio,Italy-Serie-A,ISA,30,1345,1,-,1,-,6.59
4397,Jordan Lukaku,2017/2018,Lazio,Europe-UEFA-Europa-League,UEL,9,615,-,-,-,-,6.64
4398,Jordan Lukaku,2016/2017,Lazio,Italy-Serie-A,ISA,16,846,-,-,-,-,6.58
4399,Jordan Lukaku,2016,Belgium,International-European-Championship,UEC,1,75,-,-,-,-,5.93
4400,Adnan Januzaj,2017/2018,Real Sociedad,Spain-La-Liga,SLL,28,1580,3,1,2,-,6.86
4401,Adnan Januzaj,2017/2018,Real Sociedad,Europe-UEFA-Europa-League,UEL,6,368,1,-,-,1,7.46
4402,Adnan Januzaj,2016/2017,Sunderland,England-Premier-League,EPL,25,1630,-,-,-,-,6.52
4403,Adnan Januzaj,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,6,160,-,-,-,-,6.53
4404,Adnan Januzaj,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,5,331,-,-,-,-,6.8
4405,Adnan Januzaj,2015/2016,Manchester Un..,England-Premier-League,EPL,5,144,1,-,1,-,6.33
4406,Adnan Januzaj,2014/2015,Manchester Un..,England-Premier-League,EPL,18,850,-,-,-,-,6.47
4407,Adnan Januzaj,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,2,99,-,-,-,-,6.52
4408,Adnan Januzaj,2013/2014,Manchester Un..,England-Premier-League,EPL,27,1641,4,-,4,-,6.96
4409,Adnan Januzaj,2014,Belgium,International-FIFA-World-Cup,WC,1,60,-,-,-,-,6.67
4410,Leander Dendoncker,2017/2018,Anderlecht,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.1
4411,Leander Dendoncker,2016/2017,Anderlecht,Europe-UEFA-Europa-League,UEL,12,1080,1,-,1,-,7.25
4412,Leander Dendoncker,2015/2016,Anderlecht,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,6.76
4413,Leander Dendoncker,2014/2015,Anderlecht,Europe-UEFA-Champions-League,UCL,4,140,-,-,-,-,6.43
4414,Leander Dendoncker,2014/2015,Anderlecht,Europe-UEFA-Europa-League,UEL,2,171,-,-,-,-,7.0
4415,Fidel Escobar,2018,New York Red ..,USA-Major-League-Soccer,UMLS,2,169,-,-,-,-,7.32
4416,Fidel Escobar,2017,New York Red ..,USA-Major-League-Soccer,UMLS,6,482,-,-,-,-,6.97
4417,Mouez Hassen,2015/2016,Nice,France-Ligue-1,FL1,14,1075,-,-,-,-,6.77
4418,Mouez Hassen,2014/2015,Nice,France-Ligue-1,FL1,30,2700,-,-,-,-,6.46
4419,Mouez Hassen,2013/2014,Nice,France-Ligue-1,FL1,5,361,-,-,-,-,6.45
4420,Ellyes Skhiri,2017/2018,Montpellier,France-Ligue-1,FL1,35,3052,4,1,-,3,7.13
4421,Ellyes Skhiri,2016/2017,Montpellier,France-Ligue-1,FL1,37,3286,1,-,-,1,7.02
4422,Ellyes Skhiri,2015/2016,Montpellier,France-Ligue-1,FL1,12,814,2,-,2,-,7.0
4423,Ellyes Skhiri,2014/2015,Montpellier,France-Ligue-1,FL1,2,91,-,-,-,-,6.78
4424,Saîf-Eddine Khaoui,2017/2018,Troyes,France-Ligue-1,FL1,32,1960,5,-,4,1,6.81
4425,Saîf-Eddine Khaoui,2016/2017,Marseille,France-Ligue-1,FL1,9,144,-,-,-,-,6.17
4426,Yerry Mina,2017/2018,Barcelona,Spain-La-Liga,SLL,5,370,-,-,-,-,6.89
4427,Yerry Mina,2017,Palmeiras,Brazil-Brasileirão,BSA,15,1324,2,1,1,-,7.19
4428,Yerry Mina,2016,Palmeiras,Brazil-Brasileirão,BSA,13,990,4,1,3,-,7.29
4429,Bernardo Silva,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,9,563,1,-,1,-,7.2
4430,Bernardo Silva,2017/2018,Manchester Ci..,England-Premier-League,EPL,35,1520,6,1,5,-,6.79
4431,Bernardo Silva,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,11,921,2,-,2,-,6.97
4432,Bernardo Silva,2016/2017,Monaco,France-Ligue-1,FL1,37,2800,8,1,6,1,7.29
4433,Bernardo Silva,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,6,481,-,-,-,-,6.64
4434,Bernardo Silva,2015/2016,Monaco,France-Ligue-1,FL1,32,2240,7,-,4,3,7.0
4435,Bernardo Silva,2015,Portugal U21,International-EURO-U-21,IEU,5,398,1,-,1,-,7.68
4436,Bernardo Silva,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,7,197,-,-,-,-,6.58
4437,Bernardo Silva,2014/2015,Monaco,France-Ligue-1,FL1,32,2287,9,4,4,1,7.23
4438,Raheem Sterling,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,8,497,4,-,4,-,7.4
4439,Raheem Sterling,2017/2018,Manchester Ci..,England-Premier-League,EPL,33,2593,18,8,9,1,7.55
4440,Raheem Sterling,2016/2017,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,577,2,1,1,-,7.25
4441,Raheem Sterling,2016/2017,Manchester Ci..,England-Premier-League,EPL,33,2517,7,2,5,-,7.05
4442,Raheem Sterling,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,10,578,3,-,3,-,7.19
4443,Raheem Sterling,2015/2016,Manchester Ci..,England-Premier-League,EPL,31,1928,6,2,4,-,6.78
4444,Raheem Sterling,2014/2015,Liverpool,Europe-UEFA-Champions-League,UCL,6,463,-,-,-,-,6.92
4445,Raheem Sterling,2014/2015,Liverpool,Europe-UEFA-Europa-League,UEL,2,103,-,-,-,-,6.1
4446,Raheem Sterling,2014/2015,Liverpool,England-Premier-League,EPL,35,3053,7,1,6,-,7.27
4447,Raheem Sterling,2016,England,International-European-Championship,UEC,3,193,-,-,-,-,6.55
4448,Raheem Sterling,2013/2014,Liverpool,England-Premier-League,EPL,33,2221,9,1,7,1,7.4
4449,Raheem Sterling,2014,England,International-FIFA-World-Cup,WC,3,183,-,-,-,-,6.54
4450,Raheem Sterling,2012/2013,Liverpool,Europe-UEFA-Europa-League,UEL,7,187,-,-,-,-,6.14
4451,Raheem Sterling,2012/2013,Liverpool,England-Premier-League,EPL,24,1749,2,-,2,-,6.97
4452,Raheem Sterling,2011/2012,Liverpool,England-Premier-League,EPL,3,25,-,-,-,-,6.1
4453,Karol Linetty,2017/2018,Sampdoria,Italy-Serie-A,ISA,29,2133,3,1,2,-,6.71
4454,Karol Linetty,2016/2017,Sampdoria,Italy-Serie-A,ISA,35,2386,1,-,1,-,6.74
4455,Karol Linetty,2015/2016,Lech Poznan,Europe-UEFA-Europa-League,UEL,5,336,-,-,-,-,6.61
4456,M'Baye Niang,2017/2018,Torino,Italy-Serie-A,ISA,26,1540,4,-,4,-,6.69
4457,M'Baye Niang,2016/2017,AC Milan,Italy-Serie-A,ISA,18,1123,3,-,2,1,6.55
4458,M'Baye Niang,2016/2017,Watford,England-Premier-League,EPL,16,1254,2,-,1,1,6.75
4459,M'Baye Niang,2015/2016,AC Milan,Italy-Serie-A,ISA,16,1162,5,-,5,-,7.02
4460,M'Baye Niang,2014/2015,Genoa,Italy-Serie-A,ISA,14,971,5,3,2,-,7.02
4461,M'Baye Niang,2014/2015,AC Milan,Italy-Serie-A,ISA,5,87,-,-,-,-,6.24
4462,M'Baye Niang,2013/2014,AC Milan,Italy-Serie-A,ISA,8,237,-,-,-,-,6.51
4463,M'Baye Niang,2013/2014,Montpellier,France-Ligue-1,FL1,19,1386,4,-,3,1,6.77
4464,M'Baye Niang,2012/2013,AC Milan,Italy-Serie-A,ISA,20,869,-,-,-,-,6.68
4465,M'Baye Niang,2012/2013,AC Milan,Europe-UEFA-Champions-League,UCL,2,77,-,-,-,-,5.94
4466,M'Baye Niang,2011/2012,Caen,France-Ligue-1,FL1,23,1053,2,-,1,1,6.36
4467,M'Baye Niang,2010/2011,Caen,France-Ligue-1,FL1,7,343,3,-,3,-,6.86
4468,Aleksandr Golovin,2017/2018,CSKA Moscow,Europe-UEFA-Europa-League,UEL,5,450,2,-,1,1,7.43
4469,Aleksandr Golovin,2017/2018,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,537,-,-,-,-,6.78
4470,Aleksandr Golovin,2017/2018,CSKA Moscow,Russia-Premier-League,RPL,27,2283,5,1,2,2,7.25
4471,Aleksandr Golovin,2016/2017,CSKA Moscow,Russia-Premier-League,RPL,30,2524,3,-,2,1,7.23
4472,Aleksandr Golovin,2016/2017,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,496,-,-,-,-,6.86
4473,Aleksandr Golovin,2015/2016,CSKA Moscow,Russia-Premier-League,RPL,17,621,1,-,1,-,6.49
4474,Aleksandr Golovin,2015/2016,CSKA Moscow,Europe-UEFA-Champions-League,UCL,1,16,-,-,-,-,6.16
4475,Aleksandr Golovin,2014/2015,CSKA Moscow,Russia-Premier-League,RPL,7,121,-,-,-,-,6.38
4476,Aleksandr Golovin,2016,Russia,International-European-Championship,UEC,3,161,-,-,-,-,6.18
4477,Anton Miranchuk,2017/2018,Lokomotiv Mos..,Europe-UEFA-Europa-League,UEL,10,690,1,-,1,-,6.53
4478,Anton Miranchuk,2017/2018,Lokomotiv Mos..,Russia-Premier-League,RPL,29,1980,4,-,2,2,6.76
4479,Anton Miranchuk,2016/2017,Lokomotiv Mos..,Russia-Premier-League,RPL,3,82,-,-,-,-,6.07
4480,Nahitan Nández,2017/2018,Boca Juniors,,APD,24,1887,4,-,4,-,6.96
4481,Lucas Torreira,2017/2018,Sampdoria,Italy-Serie-A,ISA,36,3185,4,-,-,4,7.17
4482,Lucas Torreira,2016/2017,Sampdoria,Italy-Serie-A,ISA,35,3049,-,-,-,-,6.98
4483,Álvaro Odriozola,2017/2018,Real Sociedad,Spain-La-Liga,SLL,35,2918,-,-,-,-,6.53
4484,Álvaro Odriozola,2017/2018,Real Sociedad,Europe-UEFA-Europa-League,UEL,6,540,1,-,1,-,7.18
4485,Álvaro Odriozola,2016/2017,Real Sociedad,Spain-La-Liga,SLL,15,1285,-,-,-,-,6.61
4486,Robert Skov,2017/2018,FC Copenhagen,,UEL,2,117,-,-,-,-,6.71
4487,Presnel Kimpembe,2017/2018,Paris Saint G..,Europe-UEFA-Champions-League,UCL,3,198,-,-,-,-,6.53
4488,Presnel Kimpembe,2017/2018,Paris Saint G..,France-Ligue-1,FL1,28,2425,-,-,-,-,6.84
4489,Presnel Kimpembe,2016/2017,Paris Saint G..,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,7.25
4490,Presnel Kimpembe,2016/2017,Paris Saint G..,France-Ligue-1,FL1,19,1710,-,-,-,-,7.06
4491,Presnel Kimpembe,2015/2016,Paris Saint G..,France-Ligue-1,FL1,6,426,-,-,-,-,7.28
4492,Presnel Kimpembe,2014/2015,Paris Saint G..,France-Ligue-1,FL1,1,14,-,-,-,-,6.27
4493,Benjamin Pavard,2017/2018,VfB Stuttgart,Germany-Bundesliga,GB,34,3060,1,-,1,-,7.1
4494,Benjamin Pavard,2016/2017,VfB Stuttgart,Germany-Bundesliga-II,GB2,21,1702,1,1,-,-,7.25
4495,Benjamin Pavard,2015/2016,Lille,France-Ligue-1,FL1,13,635,-,-,-,-,6.57
4496,Benjamin Pavard,2014/2015,Lille,France-Ligue-1,FL1,8,508,-,-,-,-,6.67
4497,Lucas Hernández,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,27,2117,-,-,-,-,7.24
